"year","company","ESG_Score","PARENT.COMPANIES","GHG QUANTITY (METRIC TONS CO2e)"
2011,"Albemarle",0.420841959972395,"testAlbemarle",303011
2011,"DOW",1.08860790693089,"testDOW",12536723
2011,"Exxon Mobil",0.770460358056266,"testExxon Mobil",1391983
2011,"Huntsman",0.361951219512195,"testHuntsman",1253289
2011,"PPG",NA,"testPPG",2305881
2011,"Westlake",0.58921568627451,"testWestlake",1750963
2012,"Albemarle",0.410419141354149,"testAlbemarle",288786
2012,"DOW",0.743128964059197,"testDOW",11825392
2012,"Exxon Mobil",-0.166666666666667,"testExxon Mobil",1470994
2012,"Huntsman",0.397037037037037,"testHuntsman",1284048
2012,"PPG",0.216480059220875,"testPPG",2283507
2012,"Westlake",0.531811249387038,"testWestlake",1630491
2013,"Albemarle",0.242688172043011,"testAlbemarle",275531
2013,"DOW",0.517218126236288,"testDOW",12219541
2013,"Exxon Mobil",-0.125,"testExxon Mobil",1388111
2013,"Huntsman",0.498735511064278,"testHuntsman",1265337
2013,"PPG",-0.0485134126703586,"testPPG",93976
2013,"Westlake",0.418798821595763,"testWestlake",1822781
2014,"Albemarle",0.193213213213213,"testAlbemarle",277006
2014,"DOW",0.486692190599197,"testDOW",12465564
2014,"Exxon Mobil",0.6,"testExxon Mobil",1299559
2014,"Huntsman",0.446256381168463,"testHuntsman",1358649
2014,"PPG",-0.115136876006441,"testPPG",108633
2014,"Westlake",0.407561470737502,"testWestlake",2842814
2015,"Albemarle",0.247803226493571,"testAlbemarle",261045
2015,"DOW",0.512096774193548,"testDOW",10359416
2015,"Exxon Mobil",0.4,"testExxon Mobil",845383
2015,"Huntsman",0.459406713505074,"testHuntsman",1586143
2015,"PPG",-0.0651821357285429,"testPPG",119883
2015,"Westlake",0.534875628123217,"testWestlake",1636191
2016,"Albemarle",0.226360544217687,"testAlbemarle",232909
2016,"DOW",0.48005179533842,"testDOW",10293133
2016,"Exxon Mobil",-0.0357142857142857,"testExxon Mobil",258015
2016,"Huntsman",1.12363377560876,"testHuntsman",1648675
2016,"PPG",-0.0526224982746722,"testPPG",95559
2016,"Westlake",0.487732213084824,"testWestlake",2726171
2017,"Albemarle",0.213967405143876,"testAlbemarle",237791
2017,"DOW",0.391190476190476,"testDOW",10942947
2017,"Exxon Mobil",-0.0714285714285714,"testExxon Mobil",276587
2017,"Huntsman",0.795362239920133,"testHuntsman",1709079
2017,"PPG",0.325581395348837,"testPPG",144129
2017,"Westlake",0.42674218897045,"testWestlake",3372228
2018,"Albemarle",0.170055916020467,"testAlbemarle",239551
2018,"DOW",0.475777031956807,"testDOW",11166145
2018,"Exxon Mobil",0.404166666666667,"testExxon Mobil",289395
2018,"Huntsman",0.805037929315386,"testHuntsman",1375203
2018,"PPG",0.40274414850686,"testPPG",118938
2018,"Westlake",0.535504124426128,"testWestlake",3257308
2019,"Albemarle",NA,"testAlbemarle",242638
2019,"DOW",0.363386727688787,"testDOW",10886563
2019,"Exxon Mobil",0.858222809319479,"testExxon Mobil",371842
2019,"Huntsman",0.735224022846061,"testHuntsman",1436207
2019,"PPG",0.404077804107425,"testPPG",127764
2019,"Westlake",0.497787310964206,"testWestlake",4471794
2020,"Albemarle",0.417854093539512,"testAlbemarle",238652
2020,"DOW",0.369078709087097,"testDOW",12054438
2020,"Exxon Mobil",0.688274153592073,"testExxon Mobil",285904
2020,"Huntsman",0.761316872427984,"testHuntsman",115550
2020,"PPG",0.340842020710008,"testPPG",75142
2020,"Westlake",0.584456456935662,"testWestlake",5731101
